353 - loss: 0.5776987493038177, val_loss: 0.581949245929718
354 - loss: 0.5801663756370544, val_loss: 0.5802626729011535
368 - loss: 0.5722375810146332, val_loss: 0.5782008409500122
371 - loss: 0.5706095576286316, val_loss: 0.5756590604782105
375 - loss: 0.5717772603034973, val_loss: 0.5735616445541382
389 - loss: 0.5700907170772552, val_loss: 0.5697761058807373
401 - loss: 0.5645043909549713, val_loss: 0.5664417266845703
410 - loss: 0.566035270690918, val_loss: 0.5655486106872558
412 - loss: 0.5641129314899445, val_loss: 0.5652207136154175
413 - loss: 0.5639453411102295, val_loss: 0.5649792551994324
420 - loss: 0.5604214072227478, val_loss: 0.5600187182426453
439 - loss: 0.5501116454601288, val_loss: 0.5580850601196289
448 - loss: 0.5535198867321014, val_loss: 0.5569450080394744
452 - loss: 0.5533954262733459, val_loss: 0.5532731533050537
466 - loss: 0.5474681973457336, val_loss: 0.5512081265449524
474 - loss: 0.5449256241321564, val_loss: 0.5504398047924042
485 - loss: 0.5411526203155518, val_loss: 0.5489053428173065
492 - loss: 0.5404958844184875, val_loss: 0.548071664571762
494 - loss: 0.5445292294025421, val_loss: 0.5477861702442169
499 - loss: 0.5372894883155823, val_loss: 0.5427291631698609
508 - loss: 0.540942496061325, val_loss: 0.541161733865738
523 - loss: 0.529816734790802, val_loss: 0.5408726930618286
524 - loss: 0.5395254194736481, val_loss: 0.5387102723121643
528 - loss: 0.536203408241272, val_loss: 0.5377172112464905
535 - loss: 0.5311673641204834, val_loss: 0.534321129322052
546 - loss: 0.5304368913173676, val_loss: 0.534143716096878
548 - loss: 0.5286953389644623, val_loss: 0.5324886202812195
558 - loss: 0.5262633740901947, val_loss: 0.5320390343666077
561 - loss: 0.524480527639389, val_loss: 0.5315252125263215
575 - loss: 0.5258366942405701, val_loss: 0.527390432357788
586 - loss: 0.5187402129173279, val_loss: 0.5257199823856353
587 - loss: 0.520594722032547, val_loss: 0.5254990875720977
591 - loss: 0.5153964996337891, val_loss: 0.5246581315994263
596 - loss: 0.520986670255661, val_loss: 0.5245148241519928
601 - loss: 0.5172760963439942, val_loss: 0.5234333515167237
603 - loss: 0.5198625564575196, val_loss: 0.5228582978248596
606 - loss: 0.5164675652980805, val_loss: 0.5212066173553467
619 - loss: 0.5101486295461655, val_loss: 0.5169446557760239
632 - loss: 0.5092687338590622, val_loss: 0.5138400137424469
650 - loss: 0.5141990005970001, val_loss: 0.5123219430446625
655 - loss: 0.5102832317352295, val_loss: 0.5095838189125061
675 - loss: 0.5112447708845138, val_loss: 0.5017028003931046
690 - loss: 0.5052762001752853, val_loss: 0.5006399333477021
710 - loss: 0.4917438417673111, val_loss: 0.5003179728984832
718 - loss: 0.4915166735649109, val_loss: 0.5002915024757385
722 - loss: 0.49481187760829926, val_loss: 0.4972508192062378
729 - loss: 0.4893119096755981, val_loss: 0.49456836879253385
741 - loss: 0.48243974447250365, val_loss: 0.49370643496513367
745 - loss: 0.48838095664978026, val_loss: 0.4911865025758743
763 - loss: 0.4794050335884094, val_loss: 0.489978089928627
781 - loss: 0.4764585107564926, val_loss: 0.48299423456192014
799 - loss: 0.4784646242856979, val_loss: 0.4813245743513107
812 - loss: 0.474831759929657, val_loss: 0.47955082058906556
815 - loss: 0.47053865492343905, val_loss: 0.47747096717357634
826 - loss: 0.47600711286067965, val_loss: 0.47707449793815615
829 - loss: 0.46962584257125856, val_loss: 0.47698877155780794
831 - loss: 0.4715875416994095, val_loss: 0.4720018237829208
841 - loss: 0.4699521869421005, val_loss: 0.46866790056228635
858 - loss: 0.4696405529975891, val_loss: 0.4684904009103775
867 - loss: 0.46205444633960724, val_loss: 0.46831063032150266
872 - loss: 0.45244295597076417, val_loss: 0.46793799102306366
874 - loss: 0.4670460969209671, val_loss: 0.4669302970170975
880 - loss: 0.46421542167663576, val_loss: 0.4640242099761963
890 - loss: 0.4550268977880478, val_loss: 0.46382664144039154
893 - loss: 0.4665906935930252, val_loss: 0.46213190257549286
926 - loss: 0.4560399979352951, val_loss: 0.4570990264415741
929 - loss: 0.44820321202278135, val_loss: 0.4570596605539322
940 - loss: 0.4446117252111435, val_loss: 0.4563352674245834
942 - loss: 0.44804964065551756, val_loss: 0.4539924532175064
950 - loss: 0.45101064443588257, val_loss: 0.44888812601566314
969 - loss: 0.4406433135271072, val_loss: 0.44239509105682373
